artist,title,year,country,format,label,discogs_low_price,copies_for_sale_on_discogs,status
Pink Panzer (2),Hail The New Dong,2015,US,"Vinyl, 7"", 45 RPM",Chapter Eleven Records – #CH27,28.17,2,Recently Edited
The Mutants (5),So American /....Piece O' Shit,1978,US,"Vinyl, 7"", 45 RPM",FTM Records – FTM 001,17.00,7,New Submission
Physicals,All Sexed Up,1978,UK,"Vinyl, 7"", 33 ⅓ RPM, EP",Physical Records (2) – PR/001,8.03,22,Recently Edited
Sham 69,Angels With Dirty Faces,1978,UK,"Vinyl, 7"", Single, 45 RPM",Polydor – 2059 023,1.65,58,Recently Edited
London (4),Summer Of Love,1977,UK,"Vinyl, 7"", 45 RPM","MCA Records – MCA319, MCA Records – MCA 319",4.05,28,
Rocks'*,You'r So Boring,1996,Australia,"Vinyl, 7"", EP, 33 ⅓ RPM, Reissue",Small Axe (2) – SA-01,20.54,4,New Submission
Der Stab,Tracers / It's Grey,2016,US,"Vinyl, 7"", 45 RPM","Elective Affinities Corp. – AF-02, Negative Jazz – NJ-07",20.00,2,New Submission
Various,Skinhead Times Issue 17,1995,UK,"Vinyl, 7"", 33 ⅓ RPM, Compilation",Skinhead Times Publishing Records – STPR003,5.74,2,New Submission
Antagonizers ATL / The Warning Shots,Split,2017,USA & Europe,"Vinyl, 7"" Red Transparent","Crowd Control Media – CCM-052, Last Punkrockers Records – LPR-021",6.48,2,New Submission
Midnite Snaxxx,Snaxxx Traxxx 2010-2015,2016,US,"Cassette, Compilation",Not On Label (Midnite Snaxxx Self-released) – none,9.77,2,New Submission
The Fits (2),Bored Of Education,2018,Canada,"Vinyl, 7"", 45 RPM, EP, Reissue",Ugly Pop Records – UP068,,,Recently Edited
The Nosebleeds,Ain't Bin To No Music School,1977,UK,"Vinyl, 7"", Single, 45 RPM Silver Label",Rabid Records (2) – TOSH 102,40.54,8,New Submission
Various,Bored Teenagers Vol.6: 16 Great British Punk Originals '77-'82,2012,UK,"Vinyl, LP, Compilation",Bin Liner Records – RUBBISHLP011,20.00,2,Recently Edited
U.K. Subs*,Tomorrows Girls,1979,UK,"Vinyl, 7"", 45 RPM, Single, Stereo Blue","GEM (2) – GEMS 10, RCA – PB 9423",1.35,130,Recently Edited
Johnny Moped,No One / Incendiary Device,1977,UK,"Vinyl, 7"", 45 RPM, Single","Chiswick Records – S15, Chiswick Records – S 15",33.78,9,
Midnite Snaxxx,You Kill Me,2012,US,"Vinyl, 7"", 45 RPM, EP, Limited Edition Red Translucent",Goner Records – 86GONE,8.00,2,
Midnite Snaxxx,Greedy Little Thing,2018,US,"Vinyl, 7"", 45 RPM, Single Sided, Single, Limited Edition, Numbered Cover Art 2",Goodbye Boozy Records – GB 147,8.05,2,New Submission
Midnite Snaxxx,Like Lightning / Givin' Me The Business,2010,US,"Vinyl, 7"", Single Sided, Limited Edition, Numbered, Test Pressing",Raw Deluxe Records – DLUX 014,,,New Submission
